symbol,rvol_mean
META,1.3067276048388372
NFLX,1.1904130958378043
BE,1.181365163437906
SBUX,1.174769317603952
AMD,1.1600203475480342
BA,1.1556494051000585
AMZN,1.146773298934998
AMAT,1.1461627363511249
COIN,1.1456756874517597
SEDG,1.1400051917075829
INTC,1.132443448313477
MSFT,1.13238323515437
TXN,1.1224176237973233
NVDA,1.0986648163506618
LMB,1.0853732088531267
UEC,1.0794942964562617
HIMS,1.0782738904840015
TSLA,1.067659007421998
SPY,1.0670808967588394
TGT,1.0545086159263701
AAPL,1.0308942398269136
CRM,0.9922431044354575
UNH,0.9746553853486258
ORCL,0.9581523305974112
ADBE,0.9517510796576124
